11:34:38.980 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:38.997 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:34:39.004 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:34:39.035 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
11:34:39.867 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:39.893 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:34:39.909 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:34:40.129 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:40.133 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
11:34:40.155 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
11:34:40.378 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:40.552 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:40.562 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:34:40.665 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:34:40.681 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
