11:30:51.664 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:51.686 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:30:51.692 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:30:51.707 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} removed from the database
11:30:52.282 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:52.298 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:30:52.310 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:30:52.429 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:52.432 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} added to the database
11:30:52.444 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=AUDI} removed from the database
11:30:52.595 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:52.766 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:52.775 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:30:52.880 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:52.895 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:30:52.899 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:30:53.095 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:53.103 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=2, brand=FORD} added to the database
11:30:53.106 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=3, price=3, brand=RENAULT} added to the database
11:30:53.184 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=1, brand=AUDI} added to the database
11:30:53.522 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=1, price=2, brand=AUDI} added to the database
11:30:53.572 [main] DEBUG c.m.f.p.rent.VehicleManagerImpl - Entity Vehicle{id=2, price=1, brand=FORD} added to the database
